ID,gameName,score,releaseDate,developer,publisher
app_108800,Crysis 2 - Maximum Edition,NA, 22 Mar 2011,Crytek Studios,Crytek Studios
app_109200,Legend of Fae,NA, 26 Jul 2011,Endlessfluff Games,Endlessfluff Games
app_109500,Fowl Space,NA, 21 Mar 2012,Pixelante Game Studios,Pixelante Game Studios
app_109700,Achron,54, 29 Aug 2011,Hazardous Software Inc.,Hazardous Software Inc.
app_11040,Sherlock Holmes - Nemesis,71, 14 Apr 2008,Frogwares,Frogwares
app_110400,inMomentum,59, 31 Oct 2011,Digital Arrow,Digital Arrow
app_11050,Dracula Origin,70, 20 May 2008,Frogwares,Frogwares
app_110500,Data Jammers: FastForward,NA, 24 Oct 2011,Digital Eel,Digital Eel
app_110600,Astro Tripper,NA, 15 Sep 2011,PomPom,PomPom
app_110610,Alien Zombie Megadeath,NA, 18 Oct 2011,PomPom,PomPom
app_110630,Mutant Storm: Reloaded,NA, 21 Mar 2012,PomPom Games,PomPom Games
app_110800,L.A. Noire,83, 8 Nov 2011,Team BondiRockstar Leeds,Team BondiRockstar Leeds
app_110810,L.A. Noire: DLC Bundle,NA, 8 Nov 2011,Team BondiRockstar Leeds,Team BondiRockstar Leeds
app_111000,The Clockwork Man,NA, 10 Aug 2011,Total Eclipse,Total Eclipse
app_111010,The Clockwork Man: The Hidden World,NA, 23 Sep 2011,Total Eclipse,Total Eclipse
app_111100,Snuggle Truck,NA, 3 Feb 2012,Owlchemy Labs,Owlchemy Labs
app_11130,Sherlock Holmes: The Mystery of the Mummy,NA, 1 Nov 2008,Frogwares  ,Frogwares  
app_111300,Smash Cars,NA, 18 Oct 2011,Creat Studios Inc,Creat Studios Inc
app_11140,Sherlock Holmes: The Awakened - Remastered Edition,72, 6 Aug 2009,Frogwares,Frogwares
app_111400,Bunch of Heroes,NA, 21 Sep 2011,NGD Studios,NGD Studios
app_111402,Bunch of Heroes: Horror Pack,NA, 27 Oct 2011,NGD Studios,NGD Studios
app_11150,Sherlock Holmes: The Silver Earring,68, 30 Sep 2004,Frogwares,Frogwares
app_111600,Serious Sam Double D XXL,NA, 30 Aug 2011,Mommy's Best Games,Mommy's Best Games
app_11180,Sherlock Holmes: The Mystery of the Persian Carpet,NA,null,Frogwares,Frogwares
app_111800,Blocks That Matter,74, 19 Aug 2011,Swing Swing Submarine,Swing Swing Submarine
app_11190,Sherlock Holmes versus Jack the Ripper,73, 23 Dec 2009,Frogwares,Frogwares
app_11200,Shadowgrounds Survivor,79, 14 Nov 2007,Frozenbyte,Frozenbyte
app_112100,Avadon: The Black Fortress,75, 17 Aug 2011,Spiderweb Software,Spiderweb Software
app_11230,Gumboy Tournament,NA, 19 May 2008,"CINEMAX, s.r.o.","CINEMAX, s.r.o."
app_11240,Space Trader: Merchant Marine,NA, 23 Oct 2008,Hermitworks Entertainment ,Hermitworks Entertainment 
app_11250,Pacific Storm,67, 29 Sep 2006,Buka EntertainmentLesta Studio,Buka EntertainmentLesta Studio
app_11260,Pacific Storm Allies,60, 25 May 2007,Lesta Studio,Lesta Studio
app_113020,Monaco: What's Yours Is Mine,83, 24 Apr 2013,Pocketwatch Games,Pocketwatch Games
app_113200,The Binding of Isaac,84, 28 Sep 2011,Edmund McMillen and Florian Himsl,Edmund McMillen and Florian Himsl
app_113204,Binding of Isaac: Wrath of the Lamb,NA, 28 May 2012,"Edmund McMillen, Florian Himsl","Edmund McMillen, Florian Himsl"
app_11330,Obulis,NA, 19 Mar 2009,IonFX,IonFX
app_11340,Larva Mortus,64, 19 Mar 2009,Rake in Grass,Rake in Grass
app_113405,APB Reloaded Urban Survival Pack,NA, 6 Nov 2012,Reloaded Productions,Reloaded Productions
app_11360,Chains,NA, 25 Nov 2008,2DEngine.com,2DEngine.com
app_11370,Nikopol: Secrets of the Immortals,68, 7 Sep 2008,White Birds Productions,White Birds Productions
app_11390,Crash Time 2,NA, 27 Aug 2009,RTL interactive,RTL interactive
app_11450,OverlordTM,81, 26 Jun 2007,Triumph Studios,Triumph Studios
app_11480,Soldiers: Heroes of World War II,77, 29 Jun 2004,Best Way,Best Way
app_115100,Costume Quest,NA, 14 Oct 2011,Double Fine Productions,Double Fine Productions
app_115110,Stacking,80, 6 Mar 2012,Double Fine Productions,Double Fine Productions
app_115120,Iron Brigade,75, 13 Aug 2012,Double Fine Productions,Double Fine Productions
app_115200,Cossacks II: Napoleonic Wars,73, 26 Apr 2005,GSC Game World,GSC Game World
app_115210,American Conquest,76, 7 Feb 2003,GSC Game World,GSC Game World
app_115220,American Conquest: Fight Back,66, 30 Sep 2003,GSC Game World,GSC Game World
app_115300,Call of Duty: Modern Warfare 3,NA, 7 Nov 2011,Infinity WardSledgehammerAspyr (Mac),Infinity WardSledgehammerAspyr (Mac)
app_115320,Prototype 2,76, 23 Jul 2012,Radical Entertainment,Radical Entertainment
app_115340,Prototype 2 RADNET Access Pack,NA, 23 Jul 2012,Radical Entertainment,Radical Entertainment
app_11560,Maelstrom: The Battle for Earth Begins,58, 20 Feb 2007,KDV Games,KDV Games
app_11590,Hospital Tycoon,51, 5 Jun 2007,Deep Red Limited,Deep Red Limited
app_116100,Super Toy Cars,NA, 6 Jun 2014,Eclipse Games,Eclipse Games
app_116120,Lightfish,NA, 19 Oct 2011,Eclipse Games,Eclipse Games
app_11900,LUMINESTM,74, 18 Apr 2008,Q Entertainment Inc.,Q Entertainment Inc.
app_1200,Red Orchestra: Ostfront 41-45,81, 14 Mar 2006,Tripwire Interactive,Tripwire Interactive
app_12100,Grand Theft Auto III,93, 21 May 2002,Rockstar Games,Rockstar Games
app_12110,Grand Theft Auto: Vice City,94, 13 May 2003,Rockstar Games,Rockstar Games
app_12120,Grand Theft Auto: San Andreas,93, 6 Jun 2005,Rockstar Games,Rockstar Games
app_12130,Manhunt,75, 20 Apr 2004,Rockstar North,Rockstar North
app_12140,Max Payne,89, 25 Jul 2001,Remedy Entertainment,Remedy Entertainment
app_12150,Max Payne 2: The Fall of Max Payne,86, 14 Oct 2003,Remedy Entertainment,Remedy Entertainment
app_12160,Midnight Club 2,81, 1 Jul 2003,Rockstar San Diego,Rockstar San Diego
app_12200,Bully: Scholarship Edition,72, 21 Oct 2008,Rockstar New England,Rockstar New England
app_12210,Grand Theft Auto IV,90, 2 Dec 2008,Rockstar NorthRockstar Toronto,Rockstar NorthRockstar Toronto
app_12220,Grand Theft Auto: Episodes from Liberty City,NA, 12 Apr 2010,Rockstar North / Toronto,Rockstar North / Toronto
app_12310,Culpa Innata,66, 23 Oct 2007,Momentum Digital Media Technologies,Momentum Digital Media Technologies
app_12320,Sacred Gold,74, 14 Aug 2006,Ascaron Entertainment ltd.,Ascaron Entertainment ltd.
app_12330,Darkstar One,71, 14 Aug 2006,Ascaron Entertainment ltd.,Ascaron Entertainment ltd.
app_12340,Jack Keane,69, 15 Apr 2008,Deck 13,Deck 13
app_12360,FlatOut: Ultimate Carnage,79, 19 Aug 2008,Bugbear Entertainment,Bugbear Entertainment
app_12390,Exodus from the Earth ,NA, 24 Oct 2008,Parallax Arts Studio,Parallax Arts Studio
app_12420,Perimeter 2: New Earth,43, 10 Feb 2009,KDV Games,KDV Games
app_12430,SlamIt Pinball Big Score,NA, 23 Feb 2009,Technetium Games,Technetium Games
app_12440,Ankh 2: Heart of Osiris ,NA, 18 May 2007,Deck 13,Deck 13
app_12450,Ankh 3: Battle of the Gods,NA, 16 Jun 2009,Deck 13,Deck 13
app_12460,BC Kings,NA, 15 Sep 2008,Mascot Entertainment,Mascot Entertainment
app_12470,Port Royale 2,75, 30 Apr 2004,Ascaron Entertainment ltd.,Ascaron Entertainment ltd.
app_12480,9th Company: Roots Of Terror,NA, 3 Dec 2009,Noviy DiskLesta Studios Inc,Noviy DiskLesta Studios Inc
app_1250,Killing Floor,72, 14 May 2009,Tripwire Interactive,Tripwire Interactive
app_12500,PuzzleQuest: Challenge of the Warlords,84, 10 Oct 2007,Infinite Interactive,Infinite Interactive
app_12510,Prison Tycoon 3TM: Lockdown,NA, 1 Aug 2007,GamebryoVirtual Playground,GamebryoVirtual Playground
app_12520,18 Wheels of Steel: American Long Haul,NA, 3 Dec 2007,SCS Software,SCS Software
app_12530,Hunting UnlimitedTM 2008,NA, 1 Sep 2007,SCS Software,SCS Software
app_12540,Mahjongg Investigations: Under Suspicion,NA, 8 Aug 2007,Zemnott,Zemnott
app_12550,Are You Smarter Than a 5th Grader?TM,NA, 28 Aug 2007,Zemnott,Zemnott
app_1256,Killing Floor Outbreak Character Pack,NA, 24 Jul 2009,Tripwire Interactive,Tripwire Interactive
app_12560,Ride! Carnival Tycoon,NA, 2 Jul 2007,Gabriel Entertainment,Gabriel Entertainment
app_1257,Killing Floor: Nightfall Character Pack,NA, 19 May 2010,Tripwire Interactive,Tripwire Interactive
app_12570,Hot Dish,NA, 12 Jan 2008,Zemnott,Zemnott
app_12580,Dr. Daisy Pet Vet,NA, 8 Jan 2008,Zemnott,Zemnott
app_12590,Sprint Cars Road to Knoxville,NA, 29 Jul 2008,BigAnt Studios,BigAnt Studios
app_12600,Midnight Outlaw: 6 Hours to SunUp,NA, 2 Jul 2005,MerscomBabylon,MerscomBabylon
app_12630,Legend - Hand of God,57, 26 Sep 2008,Master Creating,Master Creating
app_12640,Drakensang,75, 27 Feb 2009,Radon Labs,Radon Labs
app_12670,Mission Runway,NA, 7 Apr 2008,Virtual Playground,Virtual Playground
app_12690,Hunting Unlimited 2010,NA,null,null,Virtual Playground
app_12710,OverlordTM: Raising Hell,NA, 15 Feb 2008,Triumph Studios,Triumph Studios
app_12750,GRIDTM,87, 4 Jun 2008,Codemasters Studios,Codemasters Studios
app_12770,Rise of the Argonauts,59, 16 Dec 2008,Liquid Entertainment,Liquid Entertainment
app_12790,Damnation,41, 22 May 2009,Blue Omega Entertainment,Blue Omega Entertainment
app_12810,Overlord II,79, 23 Jun 2009,Triumph Studios,Triumph Studios
app_12830,Operation Flashpoint: Dragon Rising,76, 7 Oct 2009,Codemasters Studios,Codemasters Studios
app_12900,AudioSurf,85, 15 Feb 2008,Dylan Fitterer,Dylan Fitterer
app_130,Half-Life: Blue Shift,71, 1 Jun 2001,Gearbox Software,Gearbox Software
app_1300,SiN Episodes: Emergence,75, 10 May 2006,Ritual Entertainment,Ritual Entertainment
app_13000,Ninja Reflex: Steamworks Edition,57, 21 Mar 2008,Sanzaru Games,Sanzaru Games
app_13200,Unreal 2: The Awakening,75, 3 Feb 2003,"Epic Games, Inc.","Epic Games, Inc."
app_13210,Unreal Tournament 3 Black,83, 19 Nov 2007,"Epic Games, Inc.","Epic Games, Inc."
app_13230,Unreal Tournament 2004: Editor's Choice Edition,93, 16 Mar 2004,"Epic Games, Inc.","Epic Games, Inc."
app_13240,Unreal Tournament: Game of the Year Edition,92, 25 Oct 2000,"Epic Games, Inc.","Epic Games, Inc."
app_13250,Unreal Gold,NA, 30 Apr 1998,"Epic Games, Inc.","Epic Games, Inc."
app_13500,Prince of Persia: Warrior WithinTM,83, 30 Nov 2004,Ubisoft,Ubisoft
app_13510,Tom Clancy's Ghost Recon Advanced Warfighter 2 ,76, 17 Jul 2007,Ubisoft,Ubisoft
app_13520,Far Cry,89, 23 Mar 2004,Crytek Studios,Crytek Studios
app_13530,Prince of Persia: The Two ThronesTM,85, 7 Dec 2005,Ubisoft Montreal,Ubisoft Montreal
app_13540,Tom Clancy's Rainbow Six Vegas,85, 12 Dec 2006,Ubisoft Montreal,Ubisoft Montreal
app_13560,Tom Clancy's Splinter Cell,91, 18 Feb 2003,Ubisoft,Ubisoft
app_13570,Tom Clancy's Splinter Cell Chaos Theory,92, 29 Mar 2005,Ubisoft Montreal,Ubisoft Montreal
app_13580,Tom Clancy's Splinter Cell Double Agent,80, 19 Oct 2006,Ubisoft Montreal,Ubisoft Montreal
app_13600,Prince of Persia: The Sands of Time,89, 2 Dec 2003,Kudosoft,Kudosoft
app_13620,Tom Clancy's Ghost Recon Desert SiegeTM,82, 26 Mar 2002,Red Storm Entertainment,Red Storm Entertainment
app_13630,Tom Clancy's Ghost Recon Island ThunderTM,82, 25 Sep 2002,Red Storm Entertainment,Red Storm Entertainment
app_13640,Tom Clancy's Ghost Recon Advanced Warfighter,80, 2 May 2006,Ubisoft,Ubisoft
app_1500,Darwinia,84, 14 Jul 2005,Introversion Software,Introversion Software
app_15000,Tom Clancy's Rainbow Six LockdownTM,59, 14 Feb 2006,Red Storm Entertainment,Red Storm Entertainment
app_15080,Rayman Raving RabbidsTM,58, 27 Mar 2007,Ubisoft BulgariaUbisoft Montpellier,Ubisoft BulgariaUbisoft Montpellier
app_1510,Uplink,75, 23 Aug 2006,Introversion Software,Introversion Software
app_15100,Assassin's CreedTM: Director's Cut Edition,79, 9 Apr 2008,Ubisoft Montreal,Ubisoft Montreal
app_15120,Tom Clancy's Rainbow Six Vegas 2,78, 16 Apr 2008,Ubisoft Montreal,Ubisoft Montreal
app_15130,Beyond Good and EvilTM,NA, 11 Nov 2003,Ubisoft,Ubisoft
app_15140,Petz Dogz 2,NA, 13 Nov 2007,Ubisoft,Ubisoft
app_15150,Petz Catz 2,NA, 13 Nov 2007,Ubisoft,Ubisoft
app_15160,Petz Horsez 2,NA, 13 Nov 2007,Ubisoft,Ubisoft
app_15170,Heroes of Might & Magic V,77, 23 May 2006,Nival,Nival
app_15190,Brothers in Arms: Road to Hill 30TM,87, 15 Mar 2005,Gearbox Software,Gearbox Software
app_1520,DEFCON,84, 29 Sep 2006,Introversion Software,Introversion Software
app_15200,Silent Hunter: Wolves of the Pacific,79, 20 Mar 2007,Ubisoft Romania,Ubisoft Romania
app_15210,Silent Hunter III,90, 15 Mar 2005,Ubisoft,Ubisoft
app_15220,Blazing Angels Squadrons of WWII,65, 28 Mar 2006,Ubisoft,Ubisoft
app_15230,Blazing Angels 2: Secret Missions of WWII,72, 18 Sep 2007,Ubisoft,Ubisoft
app_15240,Silent Hunter: Wolves of the Pacific U-Boat Missions,NA, 24 Mar 2008,Ubisoft Romania,Ubisoft Romania
app_15270,Cold FearTM,66, 28 Mar 2005,Darkworks,Darkworks
app_1530,Multiwinia,76, 19 Sep 2008,Introversion Software,Introversion Software
app_15300,Tom Clancy's Ghost Recon,80, 13 Nov 2001,Red Storm Entertainment,Red Storm Entertainment
app_15310,The Settlers: Heritage of Kings,58, 8 Feb 2005,Ubisoft Blue Byte Studio,Ubisoft Blue Byte Studio
app_15320,IL-2 Sturmovik: 1946,86, 15 Dec 2006,1C: Maddox Games,1C: Maddox Games
app_15370,Heroes of Might & Magic V: Tribes of the East,70, 16 Oct 2007,Nival,Nival
app_15380,Heroes of Might & Magic V: Hammers of Fate,66, 14 Nov 2006,Nival,Nival
app_15390,Brothers in Arms: Hell's HighwayTM,79, 8 Oct 2008,Gearbox Software,Gearbox Software
app_15400,Harvest: Massive Encounter,NA, 5 Mar 2008,Oxeye Game Studio,Oxeye Game Studio
app_15500,The Wonderful End of the World,NA, 25 Jan 2008,"Dejobaan Games, LLC","Dejobaan Games, LLC"
app_15520,AaAaAA!!! - A Reckless Disregard for Gravity,81, 3 Sep 2009,"Dejobaan Games, LLC","Dejobaan Games, LLC"
app_15522,Aaaaa! - Brutal Concussion,NA, 22 Jul 2011,"Dejobaan Games, LLC","Dejobaan Games, LLC"
app_15540,1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby),NA,null,"Dejobaan Games, LLC","Dejobaan Games, LLC"
app_15560,AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,NA, 23 Nov 2011,"Dejobaan Games, LLCOwlchemy Labs","Dejobaan Games, LLCOwlchemy Labs"
app_15620,"Warhammer 40,000TM: Dawn of War II",85, 18 Feb 2009,Relic Entertainment,null
app_15700,Oddworld: Abe's Oddysee,NA, 12 Dec 1997,Oddworld Inhabitants,Oddworld Inhabitants
app_15710,Oddworld: Abe's Exoddus,NA, 17 Nov 1998,Oddworld Inhabitants,Oddworld Inhabitants
app_15740,Oddworld: Munch's Oddysee,NA, 20 Dec 2010,Oddworld Inhabitants,Oddworld Inhabitants
app_15750,Oddworld: Stranger's Wrath HD,NA, 20 Dec 2010,Oddworld Inhabitants,Oddworld Inhabitants
app_15900,7 Wonders II,NA, 10 Jun 2008,MumboJumbo,MumboJumbo
app_15910,Luxor Amun Rising,NA, 8 Dec 2005,MumboJumbo,MumboJumbo
app_15920,Luxor 2,NA, 8 Dec 2005,MumboJumbo,MumboJumbo
app_15930,Luxor 3,NA, 13 Nov 2007,MumboJumbo,MumboJumbo
app_15950,Reaxxion,NA, 10 Jun 2008,MumboJumbo,MumboJumbo
app_15960,Little Farm,NA, 10 Jun 2008,MumboJumbo,MumboJumbo
app_15970,Luxor,NA, 10 Jun 2008,MumboJumbo,MumboJumbo
app_1600,Dangerous Waters,82, 7 Feb 2006,Sonalysts,Sonalysts
app_16000,Discovery! A Seek and Find Adventure,NA, 29 Jul 2008,MumboJumbo,MumboJumbo
app_16020,Samantha Swift and the Hidden Roses of Athena,NA, 31 Oct 2008,MumboJumbo,MumboJumbo
app_16030,7 Wonders: Treasures of Seven,NA, 14 Nov 2008,MumboJumbo,MumboJumbo
app_16040,Luxor: Quest for the Afterlife ,NA, 15 Dec 2008,MumboJumbo,MumboJumbo
app_16060,Samantha Swift and the Golden Touch,NA, 29 Apr 2009,MumboJumbo,MumboJumbo
app_1610,Space Empires IV Deluxe,79, 7 Feb 2006,Malfador Machinations,Malfador Machinations
app_16100,Virtual Villagers: A New Home,NA, 14 Jul 2006,Last Day of Work,Last Day of Work
app_16110,Virtual Villagers: The Lost Children,NA, 14 Feb 2007,Last Day of Work,Last Day of Work
app_16130,Fish Tycoon,NA, 14 Nov 2005,Last Day of Work,Last Day of Work
app_16180,Virtual Villagers - The Secret City,NA, 28 May 2008,Last Day of Work,Last Day of Work
app_1620,Jagged Alliance 2 Gold,NA, 6 Jul 2006,Strategy First,Strategy First
app_16200,Virtual Families,NA, 6 May 2009,Last Day of Work,Last Day of Work
app_1630,Disciples II: Rise of the Elves ,80, 6 Jul 2006,Strategy First,Strategy First
app_16300,Everyday Shooter,77, 8 May 2008,Queasy Games,Queasy Games
app_1640,Disciples II: Gallean's Return,84, 6 Jul 2006,Strategy First,Strategy First
app_16450,F.E.A.R. 2: Project Origin,79, 12 Feb 2009,Monolith,Monolith
app_16465,F.E.A.R. 2: Reborn (DLC),NA, 3 Sep 2009,"Monolith Productions, Inc.","Monolith Productions, Inc."
app_16500,Chaos Theory,NA, 22 May 2008,blurredVision,blurredVision
app_16600,Trials 2: Second Edition,NA, 1 Mar 2008,Redlynx,Redlynx
app_16620,Monster Trucks Nitro ,NA, 29 Jan 2009,Redlynx Ltd,Redlynx Ltd
app_1670,Iron Warriors: T - 72 Tank Command ,56, 26 Jul 2006,Strategy First,Strategy First
app_16710,Insecticide Part 1,65, 27 Jun 2008,Crackpot Entertainment,Crackpot Entertainment
app_16720,Velvet Assassin,61, 1 May 2009,Replay Studios,Replay Studios
app_16730,Legendary,50, 1 Dec 2008,Spark Unlimited,Spark Unlimited
app_16810,Sid Meier's Civilization IV: Colonization,83, 23 Sep 2008,Firaxis Games,Firaxis Games
app_16860,Civilization V: Cradle of Civilization - Mediterranean,NA, 30 Nov 2010,"Firaxis GamesAspyr (Mac, Linux)","Firaxis GamesAspyr (Mac, Linux)"
app_16861,Civilization V: Cradle of Civilization - Asia,NA, 30 Nov 2010,"Firaxis GamesAspyr (Mac, Linux)","Firaxis GamesAspyr (Mac, Linux)"
app_16862,Civilization V: Cradle of Civilization - Americas,NA, 30 Nov 2010,"Firaxis GamesAspyr (Mac, Linux)","Firaxis GamesAspyr (Mac, Linux)"
app_16863,Civilization V: Cradle of Civilization - Mesopotamia,NA, 30 Nov 2010,"Firaxis GamesAspyr (Mac, Linux)","Firaxis GamesAspyr (Mac, Linux)"
app_16866,Civilization V: Explorers  Map Pack,NA, 3 May 2011,"Firaxis GamesAspyr (Mac, Linux)","Firaxis GamesAspyr (Mac, Linux)"
app_16867,Double Civilization and Scenario Pack: Spain and Inca,NA, 16 Dec 2010,"Firaxis GamesAspyr (Mac, Linux)","Firaxis GamesAspyr (Mac, Linux)"
app_16868,Sid Meiers Civilization V: Babylon (Nebuchadnezzar II),NA, 25 Oct 2010,"Firaxis GamesAspyr (Mac, Linux)","Firaxis GamesAspyr (Mac, Linux)"
app_16870,Sid Meier's Civilization V - Gods and Kings,NA, 21 Jun 2012,"Firaxis GamesAspyr (Mac, Linux)","Firaxis GamesAspyr (Mac, Linux)"
app_1690,Space Empires V,68, 16 Oct 2006,Malfador Machinations,Malfador Machinations
app_1700,Arx Fatalis,77, 12 Nov 2002,Arkane Studios,Arkane Studios
app_17020,Global Agenda: Free Agent,70, 1 Feb 2010,Hi-Rez Studios,Hi-Rez Studios
app_17097,Tribes: Ascend - Game of the Year Edition,NA, 15 Feb 2013,Hi-Rez Studios,Hi-Rez Studios
app_17100,Children of the Nile: Enhanced Edition,75, 2 Jul 2008,"Tilted Mill Entertainment, Inc.","Tilted Mill Entertainment, Inc."
app_17120,Children of the Nile: Alexandria,NA, 28 Aug 2008,"Tilted Mill Entertainment, Inc.","Tilted Mill Entertainment, Inc."
app_17140,Hinterland,65, 30 Sep 2008,"Tilted Mill Entertainment, Inc.","Tilted Mill Entertainment, Inc."
app_17180,Mosby's Confederacy,NA, 19 Nov 2008,"Tilted Mill Entertainment, Inc.","Tilted Mill Entertainment, Inc."
