sgamename,origin
callofdutyadvancedwarfareseasonpass,40
kingsbountycrossworlds,14.98999977
risingstorm,19.98999977
coldfear,9.989999771
dungeonsgoldedition,29.98999977
legobatmanvideogame,19.98999977
laracroftandtempleofosiris,19.98999977
victoriaiiahousedivided,9.989999771
overlordii,9.989999771
twotribesclassicspack,9.989999771
rignroll,14.98999977
arcaniafallofsetarrif,14.98999977
tankoperationseuropeancampaign,14.98999977
heroofkingdom,6.989999771
pyromancerpack,19.98999977
darkstone,4.989999771
bomb,11.98999977
aztaka,9.989999771
luxoramunrising,9.989999771
spacesiege,14.98999977
crazymachinesgoldengears,9.989999771
railroadpioneer,4.989999771
hamiltonsgreatadventure,9.989999771
aliensvspredator,14.98999977
nosgothveteranpack,4.989999771
ultrastreetfighterivupgrade,14.98999977
waronfolvos,3.99000001
cabelasbiggamehunterprohunts,29.98999977
mxvsatvreflex,19.98999977
riseniidarkwaterscollection,24.79999924
mightandmagicduelofchampionsforgottenwarspack,69.98999786
puzzlerworldii,4.989999771
kingarthursgoldivpack,29.98999977
shadowgate,19.98999977
bridgeitplus,19.98999977
maxpayneiifallofmaxpayne,9.989999771
titanquest,14.98999977
bindingofisaacrebirthsoundtrack,2.99000001
tropicoiv,19.98999977
luxormahjong,9.989999771
sonicandallstarsracingtransformed,19.98999977
tropicoiiiabsolutepower,9.989999771
falloutnewvegasultimateedition,19.98999977
gasguzzlersextremefourpack,74.98999786
ftlfasterthanlight,9.989999771
wolfensteiniiid,4.989999771
holyavatarvsmaidensofdead,9.989999771
ironcladtacticsdeluxeeditionupgrade,14.98999977
jewelquest,19.98999977
bannersaga,19.98999977
anewreckoning,9.989999771
hardtruckapocalypseriseofclans,5.989999771
infestedplanet,14.98999977
trialsfusionempireofskydlcii,4.989999771
narcoterroriipack,14.98999977
simsiiifastlanestuff,19.98999977
molecontrol,4.989999771
longlivequeen,9.989999771
testdriveunlimitedii,19.98999977
desperadoswanteddeadoralive,4.989999771
gameofthrones,19.98999977
hackerevolution,9.989999771
planetaryannihilation,29.98999977
mudtv,9.989999771
armaiii,59.99000168
doomiiibfgedition,19.98999977
riseniidarkwaters,19.98999977
bloodbowllegendaryedition,19.98999977
moebiusempirerising,29.98999977
tokitoriiiplus,14.98999977
chaosondeponia,19.98999977
facerig,14.98999977
stariontactics,19.98999977
partyofsin,9.989999771
saintsrowivexecutiveprivilegepack,1.99000001
aliensversuspredatorclassicii000,4.989999771
wolfamongus,24.98999977
enclave,4.989999771
verticaldropheroeshd,6.989999771
metrolastlightcompleteedition,19.98999977
childoflight,14.98999977
dishonoredgameofyearedition,29.98999977
houseofi000doorspalmofzoroastercollectorsedition,9.989999771
deadislandepidemicdeadicatedpack,39.99000168
cakemaniamainstreet,6.989999771
painkillercompletepack,69.98999786
neverwinterheroofnorthpack,199.9900055
twoworldsiipiratesofflyingfortress,9.989999771
humanityasset,9.989999771
princeofpersiawarriorwithin,9.989999771
puddle,7.989999771
sniperelitevii,29.98999977
void,9.989999771
rpgmakerdungeonsandvolcanoestilepack,9.989999771
deadislandepidemicpatientzeropack,16.98999977
markofninja,14.98999977
saintsrowivseasonpass,4.989999771
sniperghostwarriorgoldedition,7.989999771
bittripvoidplussoundtrack,11.98999977
leftivdeadii,19.98999977
chivalrydeadliestwarrior,14.98999977
saintsrowivcommanderinchiefpack,1.99000001
dreamchronicleschosenchild,14.98999977
farcry,9.989999771
transistor,19.98999977
postaliicompleteivpack,29.98999977
truckracer,19.98999977
strongholdcrusaderii,49.99000168
magickawizardssurvivalkitdlc,0.99000001
kingsbountywarriorsofnorth,19.98999977
tokitori,4.989999771
spintires,29.98999977
ofguardsandthieves,14.98999977
snipereliteiii,49.99000168
syberiaii,9.989999771
magickavietnamdlc,4.989999771
princeofpersiatwothrones,9.989999771
annoii0vii0,29.98999977
sentineliiihomeworld,6.989999771
awalkindark,6.989999771
mylandsherocouragestarterdlcpack,17.98999977
supersplatters,9.989999771
midnightmysteriesiiidevilonmississippi,9.989999771
starpointgeminiii,34.99000168
howtosurvive,14.98999977
wormsclanwars,24.98999977
dungeonsiegeiii,14.98999977
crashtimeii,9.989999771
lanoiredlcbundle,11.98999977
sealegendsphantasmallightcollectorsedition,4.989999771
crazymachines,9.989999771
guardiansofmiddleearthmithriledition,79.98999786
talesfromdragonmountainstrix,6.989999771
marchofeagles,19.98999977
streetfighterxtekken,29.98999977
