"ID","recordTime","recordPrice"
app_201810,2014/6/25 ,59.99
app_201810,2014/6/25 ,40.19
app_201810,2014/6/28 ,40.19
app_201810,2014/6/29 ,59.99
app_201810,2014/6/30 ,29.99
app_201810,2014/7/17 ,59.99
app_201810,2014/7/18 ,44.99
app_201810,2014/7/18 ,59.99
app_201810,2014/7/19 ,29.99
app_201810,2014/7/19 ,59.99
app_201810,2014/7/21 ,44.99
app_2028062,2014/3/11 ,49.99
app_2028062,2014/3/11 ,24.99
app_2028062,2014/3/14 ,24.99
app_2028062,2014/5/1 ,49.99
app_2028062,2014/5/2 ,37.49
app_2028062,2014/5/3 ,49.99
app_2028062,2014/5/5 ,24.99
app_2028062,2014/6/19 ,49.99
app_2028062,2014/6/19 ,37.49
app_2028062,2014/6/23 ,37.49
app_2028062,2014/6/26 ,49.99
app_2028062,2014/6/26 ,24.99
app_2028062,2014/6/29 ,24.99
app_2028062,2014/8/28 ,49.99
app_2028062,2014/8/28 ,24.99
app_2028062,2014/9/1 ,24.99
app_2028850,2013/7/11 ,4.99
app_2028850,2013/7/13 ,2.49
app_2028850,2013/7/13 ,4.99
app_2028850,2013/7/14 ,3.74
app_2028850,2013/7/15 ,4.99
app_2028850,2013/7/15 ,2.49
app_2028850,2013/7/15 ,4.99
app_2028850,2013/7/15 ,3.74
app_2028850,2013/7/20 ,3.74
app_2028850,2013/7/21 ,4.99
app_2028850,2013/7/21 ,2.49
app_2028850,2014/1/1 ,4.99
app_2028850,2014/1/1 ,1.24
app_2028850,2014/5/8 ,4.99
app_2028850,2014/5/8 ,3.34
app_2028850,2014/5/12 ,3.34
app_2028850,2014/6/19 ,4.99
app_2028850,2014/6/19 ,3.34
app_2028850,2014/6/21 ,4.99
app_2028850,2014/6/21 ,2.49
app_2028850,2014/6/21 ,4.99
app_2028850,2014/6/21 ,3.34
app_2028850,2014/6/24 ,3.34
app_2028850,2014/6/26 ,4.99
app_2028850,2014/6/26 ,2.49
app_2028850,2014/8/20 ,4.99
app_2028850,2014/8/20 ,2.49
app_2028850,2014/8/25 ,2.49
app_202970,2012/12/20 ,59.99
app_202970,2012/12/20 ,49.79
