,diana,clara,pearson -> clara,k-medoids,ID
bittripcoreplussoundtrack,2,2,5,0,146
bittripvoidplussoundtrack,2,2,2,0,147
blackice,3,3,3,0,148
blackink,5,5,7,0,149
blacklighttangodown,1,16,9,0,150
blackmirror,5,4,8,0,151
bladekitten,2,7,12,0,152
bladesoftimelimitededition,1,14,12,0,153
blazingangelsiisecretmissionsofwwii,2,2,2,0,154
blazingangelssquadronsofwwii,2,2,2,0,155
blockland,7,13,14,0,156
bloodbath,5,4,8,0,157
bloodbowlchaosedition,2,7,12,0,158
bloodbowldarkelvesedition,3,3,3,0,159
bloodbowllegendaryedition,1,12,19,0,160
bloodknights,2,7,10,0,161
bloodofwerewolf,1,1,9,0,162
bloodomeniilegacyofkain,2,2,2,0,163
bloodytraplandivpack,6,11,16,0,164
bluetoadmurderfilesmysteriesoflittleriddle,5,5,11,0,165
bookofunwrittentalescritterchronicles,1,8,13,0,166
borderlands,1,5,9,0,167
borderlandsgameofyearedition,2,2,2,0,168
borderlandsii,1,6,9,0,169
borderlandsiicreatureslaughterdome,2,2,2,0,170
borderlandsiigameofyearedition,1,14,13,0,171
borderlandsiipsychopack,6,11,16,0,172
borderlandsmadmoxxisunderdomeriot,1,8,13,0,173
borderlandssecretarmoryofgeneralknoxx,1,8,13,0,174
borderlandszombieislandofdrned,1,8,13,0,175
borderzone,1,1,9,0,176
boundbyflame,1,1,1,0,177
braveland,1,8,1,0,178
breachandclear,5,10,8,0,179
bridge,1,12,4,0,180
bridgeitplus,1,1,9,0,181
bridgeproject,2,2,2,0,182
brigadeevnewjaggedunion,4,9,11,0,183
brink,2,8,10,0,184
brothersataleoftwosons,2,2,5,0,185
brothersinarmshellshighway,2,2,5,0,186
brothersinarmsroadtohilliii0,2,2,5,0,187
buccaneerpursuitofinfamy,1,1,9,0,188
buildalot,6,11,14,0,189
buildalotii,12,19,18,0,190
buildalotiv,12,19,18,0,191
buildalotivpowersource,3,3,3,0,192
bullyscholarshipedition,2,2,2,0,193
bunchofheroesfourpack,3,3,3,0,194
bureauxcomdeclassified,1,6,9,0,195
cabelasafricanadventures,6,11,16,0,196
cabelasbiggamehunterprohunts,1,1,1,0,197
cakemania,3,3,3,0,198
cakemaniamainstreet,3,3,3,0,199
callofdutyadvancedwarfare,3,3,3,0,200
cannonbrawl,1,1,4,0,201
cannonbrawltwopack,1,1,4,0,202
captainmorganeandgoldenturtle,1,14,13,0,203
cargocommander,1,1,1,0,204
cargoquestforgravity,2,7,12,0,205
carmechanicsimulatorii0iiv,2,2,5,0,206
castleneverjudgeabookbyitscover,4,4,7,0,207
castlevanialordsofshadowii,13,17,17,0,208
cave,7,15,14,0,209
ceville,1,8,13,0,210
chains,1,1,4,0,211
chaosdomain,4,4,7,0,212
chaosengineiipack,1,8,13,0,213
chaosondeponia,2,7,12,0,214
childoflight,14,18,17,0,215
chivalrydeadliestwarrior,6,11,2,0,216
chivalrymedievalwarfare,1,8,13,0,217
chompychompchomp,5,4,7,0,218
chrome,1,16,9,0,219
ciddummy,5,5,15,0,220
citadels,7,15,14,0,221
citiesinmotion,1,8,13,0,222
citiesinmotiongermancities,2,7,12,0,223
citiesinmotioniandiicollection,6,11,16,0,224
citiesinmotioniicollection,6,11,16,0,225
citiesinmotioniitrekkingtrolleys,6,11,16,0,226
citiesinmotioniiwendingwaterbuses,6,11,16,0,227
citiesinmotionlondon,2,7,12,0,228
citiesinmotionparis,2,7,12,0,229
citiesinmotionstpetersburg,2,7,10,0,230
citiesinmotiontokyo,2,7,12,0,231
citiesxlii0ii,1,14,10,0,232
citiesxlplatinum,2,7,12,0,233
citizenpack,3,3,3,0,234
citylifeii00viii,1,8,13,0,235
civcityrome,6,11,16,0,236
civilizationvcradleofcivilizationdlcbundle,2,2,2,0,237
clickr,1,6,9,0,238
clockworkman,1,8,13,0,239
clockworktalesofglassandink,5,16,15,0,240
cloudberrykingdom,2,7,10,0,241
coconutqueen,6,11,14,0,242
codenamepanzerscoldwar,3,3,3,0,243
coldfear,2,2,2,0,244
coldwar,2,2,5,0,245
coloniesonline,3,3,3,0,246
commanderconquestofamericas,1,6,8,0,247
commanderconquestofamericascolonialnavy,2,2,5,0,248
commanderconquestofamericaspiratetreasurechest,2,7,5,0,249
commandosiiidestinationberlin,1,1,4,0,250
commandosiimenofcourage,1,1,4,0,251
companyofheroes,2,2,2,0,252
companyofheroesii,1,12,1,0,253
companyofheroesiidigitalcollectorsedition,1,14,10,0,254
companyofheroesiiwesternfrontarmies,3,3,3,0,255
companyofheroesopposingfronts,2,2,2,0,256
companyofheroestalesofvalor,2,2,2,0,257
condemnedcriminalorigins,6,11,16,0,258
conflictdeniedops,1,12,4,0,259
confrontation,1,6,9,0,260
constructionmachinesii0iiv,5,10,15,0,261
contraptionmaker,1,12,19,0,262
contrast,2,7,5,0,263
costumequest,1,12,4,0,264
cradleofrome,6,15,14,0,265
crashtimeii,1,8,13,0,266
crazymachines,1,8,13,0,267
crazymachineselements,1,8,13,0,268
crazymachineselementsdlccollisioncoursementalactivity,2,8,12,0,269
crazymachineselementsdlcgadgetfuntrickyriddles,2,8,12,0,270
crazymachinesgoldengears,5,16,9,0,271
crazymachinesii,1,8,10,0,272
crazymachinesiibacktoshopaddon,1,8,13,0,273
crazymachinesiicomplete,1,1,4,0,274
crazymachinesiicompletepack,4,4,7,0,275
crazymachinesiihalloween,1,1,4,0,276
crazymachinesiihappynewyeardlc,1,8,13,0,277
crazymachinesiiinvadersfromspace,1,8,10,0,278
